Date,Tone_score
2022.5.30,0.112522215
2022.5.31,0.11181369
2022.6.1,0.16213688
2022.6.2,0.12764141
2022.6.3,0.15321547
2022.6.4,0.10660976
2022.6.5,0.049963713
2022.6.6,0.12605837
2022.6.7,0.1612482
2022.6.8,0.1327714
2022.6.9,0.063336425
2022.6.10,0.09201923
2022.6.11,0.10516857
2022.6.12,0.11831791
2022.6.13,0.13146725
2022.6.14,0.08852195
2022.6.15,0.053802617
2022.6.16,0.07624896
2022.6.17,0.14709167
2022.6.18,0.12233341
2022.6.19,0.09757514
2022.6.20,0.16380015
2022.6.21,0.10750544
2022.6.22,0.09457201
2022.6.23,0.043739427
2022.6.24,0.113965176
2022.6.25,0.15578118
2022.6.26,0.13494307
2022.6.27,0.14397371
2022.6.28,0.18392122
2022.6.29,0.10194113
2022.6.30,0.17030126
2022.7.1,0.12992138
2022.7.2,0.13791104
2022.7.3,0.09355922
2022.7.4,0.15900503
2022.7.5,0.138106
2022.7.6,0.10955963
2022.7.7,0.1100368
2022.7.8,0.107383944
2022.7.9,0.11325855
2022.7.10,0.11913315
2022.7.11,0.12817593
2022.7.12,0.115553
2022.7.13,0.07893918
2022.7.14,0.10576272
2022.7.15,0.14570276
2022.7.16,0.088690355
2022.7.17,0.09143008
2022.7.18,0.120176196
2022.7.19,0.14268441
2022.7.20,0.096028246
2022.7.21,0.07218397
2022.7.22,0.12106271
2022.7.23,0.075844124
2022.7.24,0.14201109
2022.7.25,0.13781543
2022.7.26,0.03428002
2022.7.27,0.14671114
2022.7.28,0.05417498
2022.7.29,0.08484778
2022.7.30,0.11839686
2022.7.31,0.15194595
2022.8.1,0.0997031
2022.8.2,0.07793645
2022.8.3,0.1285328
2022.8.4,0.10675588
2022.8.5,0.0944666
2022.8.6,0.1292806
2022.8.7,0.16409458
2022.8.8,0.13264327
2022.8.9,0.13874236
2022.8.10,0.0970511
2022.8.11,0.14491445
2022.8.12,0.09222531
2022.8.13,0.09372518
2022.8.14,0.09522506
2022.8.15,0.09672493
2022.8.16,0.12612864
2022.8.17,0.22727661
2022.8.18,0.092392854
2022.8.19,0.01734677
2022.8.20,0.06417255
